source,org-name,prefix_root,prefix,created,netname,org,mnt-by,last-modified,exact_origin,country_root,country
AFRINIC,Cloud Innovation Ltd,156.224.0.0/11,156.255.160.0/24,,ICIDC_Limited,,CIL1-MNT LARUS-SERVICE-MNT,,AS138195,SC,HK
AFRINIC,Cloud Innovation Ltd,156.224.0.0/11,156.255.161.0/24,,ICIDC_Limited,,CIL1-MNT LARUS-SERVICE-MNT,,AS138195,SC,HK
AFRINIC,Cloud Innovation Ltd,156.224.0.0/11,156.255.166.0/24,,ICIDC_Limited,,CIL1-MNT LARUS-SERVICE-MNT,,AS138195;AS138195;AS138195,SC,HK
AFRINIC,Cloud Innovation Ltd,156.224.0.0/11,156.255.167.0/24,,ICIDC_Limited,,CIL1-MNT LARUS-SERVICE-MNT,,AS138195,SC,HK
AFRINIC,Cloud Innovation Ltd,156.224.0.0/11,156.255.171.0/24,,ICIDC_Limited,,CIL1-MNT LARUS-SERVICE-MNT,,AS138195;AS138195;AS138195,SC,HK
AFRINIC,Cloud Innovation Ltd,156.224.0.0/11,156.255.172.0/24,,ICIDC_Limited,,CIL1-MNT LARUS-SERVICE-MNT,,AS138195,SC,HK
AFRINIC,Cloud Innovation Ltd,156.224.0.0/11,156.255.177.0/24,,ICIDC_Limited,,CIL1-MNT LARUS-SERVICE-MNT,,AS131685;AS138195;AS138195;AS138195,SC,HK
AFRINIC,Cloud Innovation Ltd,156.224.0.0/11,156.255.178.0/24,,ICIDC_Limited,,CIL1-MNT LARUS-SERVICE-MNT,,AS138195;AS138195;AS138195,SC,HK
AFRINIC,Cloud Innovation Ltd,156.224.0.0/11,156.255.179.0/24,,ICIDC_Limited,,CIL1-MNT LARUS-SERVICE-MNT,,AS138195;AS138195;AS138195,SC,HK
AFRINIC,Cloud Innovation Ltd,156.224.0.0/11,156.255.181.0/24,,ICIDC_Limited,,CIL1-MNT LARUS-SERVICE-MNT,,AS138195;AS138195;AS138195,SC,HK
AFRINIC,Cloud Innovation Ltd,156.224.0.0/11,156.255.182.0/24,,ICIDC_Limited,,CIL1-MNT LARUS-SERVICE-MNT,,AS138195,SC,HK
AFRINIC,Cloud Innovation Ltd,156.224.0.0/11,156.255.193.0/24,,ICIDC_Limited,,CIL1-MNT LARUS-SERVICE-MNT,,AS138195;AS138195,SC,HK
AFRINIC,Cloud Innovation Ltd,156.224.0.0/11,156.255.196.0/24,,ICIDC_Limited,,CIL1-MNT LARUS-SERVICE-MNT,,AS131685;AS138195;AS138195,SC,HK
AFRINIC,Cloud Innovation Ltd,156.224.0.0/11,156.255.197.0/24,,ICIDC_Limited,,CIL1-MNT LARUS-SERVICE-MNT,,AS138195;AS138195,SC,HK
AFRINIC,Cloud Innovation Ltd,156.224.0.0/11,156.255.198.0/24,,ICIDC_Limited,,CIL1-MNT LARUS-SERVICE-MNT,,AS138195;AS138195,SC,HK
AFRINIC,Cloud Innovation Ltd,156.224.0.0/11,156.255.213.0/24,,ICIDC_Limited,,CIL1-MNT LARUS-SERVICE-MNT,,AS138195,SC,HK
AFRINIC,Cloud Innovation Ltd,156.224.0.0/11,156.255.216.0/24,,ICIDC_Limited,,CIL1-MNT LARUS-SERVICE-MNT,,AS132839;AS138195,SC,HK
AFRINIC,Cloud Innovation Ltd,156.224.0.0/11,156.255.217.0/24,,ICIDC_Limited,,CIL1-MNT LARUS-SERVICE-MNT,,AS138195;AS138195,SC,HK
AFRINIC,Cloud Innovation Ltd,156.224.0.0/11,156.255.218.0/24,,ICIDC_Limited,,CIL1-MNT LARUS-SERVICE-MNT,,AS138195;AS138195,SC,HK
AFRINIC,Cloud Innovation Ltd,156.224.0.0/11,156.255.219.0/24,,ICIDC_Limited,,CIL1-MNT LARUS-SERVICE-MNT,,AS138195;AS138195,SC,HK
AFRINIC,Cloud Innovation Ltd,156.224.0.0/11,156.255.220.0/24,,ICIDC_Limited,,CIL1-MNT LARUS-SERVICE-MNT,,AS138195,SC,HK
AFRINIC,Cloud Innovation Ltd,156.224.0.0/11,156.255.221.0/24,,ICIDC_Limited,,CIL1-MNT LARUS-SERVICE-MNT,,AS138195,SC,HK
