prefix,provider,origin,time,as_path,scrubber
103.71.154.0/24,136933,132325,1733243161.0,"['6233', '1299', '3223', '136933', '136933', '136933', '136933', '132325']",3223
103.71.154.0/24,136933,132325,1733243161.0,"['6233', '1299', '59796', '136933', '132325']",59796
103.71.154.0/24,136933,132325,1733243161.0,"['39351', '1299', '3223', '136933', '136933', '136933', '136933', '132325']",3223
103.71.154.0/24,136933,132325,1733243161.0,"['39351', '1299', '59796', '136933', '132325']",59796
103.71.154.0/24,136933,132325,1733243161.0,"['49544', '33891', '59796', '136933', '132325']",59796
103.71.154.0/24,136933,132325,1733243161.0,"['8218', '9002', '59796', '136933', '132325']",59796
103.71.154.0/24,136933,132325,1733243161.0,"['8218', '9002', '59796', '136933', '132325']",59796
103.71.154.0/24,136933,132325,1733243161.0,"['14907', '1299', '59796', '136933', '132325']",59796
103.71.154.0/24,136933,132325,1733243161.0,"['34019', '8218', '9002', '59796', '136933', '132325']",59796
103.71.154.0/24,136933,132325,1733243161.0,"['24482', '33891', '59796', '136933', '132325']",59796
103.71.154.0/24,136933,132325,1733243161.0,"['6830', '1299', '1299', '3223', '136933', '136933', '136933', '136933', '132325']",3223
103.71.154.0/24,136933,132325,1733243161.0,"['6830', '1299', '59796', '136933', '132325']",59796
103.71.154.0/24,136933,132325,1733243161.0,"['8455', '1299', '59796', '136933', '132325']",59796
103.71.154.0/24,136933,132325,1733243161.0,"['6453', '1299', '59796', '136933', '132325']",59796
103.71.154.0/24,136933,132325,1733243161.0,"['47147', '1299', '59796', '136933', '132325']",59796
103.71.154.0/24,136933,132325,1733243161.0,"['399580', '6939', '3223', '136933', '136933', '136933', '136933', '132325']",3223
103.71.154.0/24,136933,132325,1733243161.0,"['399580', '6939', '3223', '136933', '136933', '136933', '136933', '132325']",3223
103.71.154.0/24,136933,132325,1733243161.0,"['399580', '6939', '3223', '136933', '136933', '136933', '136933', '132325']",3223
103.71.154.0/24,136933,132325,1733243161.0,"['399580', '6939', '59796', '136933', '132325']",59796
103.71.154.0/24,136933,132325,1733243161.0,"['1103', '33891', '59796', '136933', '132325']",59796
103.71.154.0/24,136933,132325,1733243161.0,"['12859', '33891', '59796', '136933', '132325']",59796
103.71.154.0/24,136933,132325,1733243161.0,"['205206', '1299', '3223', '136933', '136933', '136933', '136933', '132325']",3223
103.71.154.0/24,136933,132325,1733243161.0,"['205206', '1299', '59796', '136933', '132325']",59796
103.71.154.0/24,136933,132325,1733243161.0,"['29222', '3356', '3223', '136933', '136933', '136933', '136933', '132325']",3223
103.71.154.0/24,136933,132325,1733243161.0,"['29222', '1299', '59796', '136933', '132325']",59796
103.71.154.0/24,136933,132325,1733243161.0,"['29222', '33891', '59796', '136933', '132325']",59796
103.71.154.0/24,136933,132325,1733243161.0,"['49673', '20485', '9002', '59796', '136933', '132325']",59796
103.71.154.0/24,136933,132325,1733243161.0,"['852', '33891', '59796', '136933', '132325']",59796
103.71.154.0/24,136933,132325,1733243161.0,"['13830', '3356', '3223', '136933', '136933', '136933', '136933', '132325']",3223
103.71.154.0/24,136933,132325,1733243161.0,"['13830', '3356', '3223', '136933', '136933', '136933', '136933', '132325']",3223
103.71.154.0/24,136933,132325,1733243161.0,"['13830', '3356', '3223', '136933', '136933', '136933', '136933', '132325']",3223
103.71.154.0/24,136933,132325,1733243161.0,"['29504', '39392', '33891', '3223', '136933', '136933', '136933', '136933', '132325']",3223
103.71.154.0/24,136933,132325,1733243161.0,"['29504', '15935', '33891', '59796', '136933', '132325']",59796
103.71.154.0/24,136933,132325,1733243161.0,"['29504', '15935', '33891', '59796', '136933', '132325']",59796
103.71.154.0/24,136933,132325,1733243161.0,"['57821', '12586', '3257', '33891', '59796', '136933', '132325']",59796
103.71.154.0/24,136933,132325,1733243161.0,"['7018', '1299', '59796', '136933', '132325']",59796
103.71.154.0/24,136933,132325,1733243161.0,"['20205', '6939', '59796', '136933', '132325']",59796
