Unnamed: 0,prefix,provider,origin,time,as_path,scrubber
209,69.10.42.0/24,396998,19318,1733218858,"['29140', '286', '396998', '19318']",396998
210,69.10.42.0/24,396998,19318,1733218858,"['58299', '6939', '396998', '19318']",396998
211,69.10.42.0/24,396998,19318,1733218858,"['64475', '3320', '3257', '396998', '19318']",396998
212,69.10.42.0/24,396998,19318,1733218858,"['58299', '34549', '396998', '19318']",396998
213,69.10.42.0/24,396998,19318,1733218858,"['48919', '9002', '396998', '19318']",396998
214,69.10.42.0/24,396998,19318,1733218858,"['48919', '9002', '396998', '19318']",396998
215,69.10.42.0/24,396998,19318,1733218858,"['35598', '396998', '19318']",396998
216,69.10.42.0/24,396998,19318,1733218858,"['58057', '34549', '396998', '19318']",396998
217,69.10.42.0/24,396998,19318,1733218858,"['8218', '6461', '3257', '396998', '19318']",396998
218,69.10.42.0/24,396998,19318,1733218858,"['8218', '6461', '3257', '396998', '19318']",396998
219,69.10.42.0/24,396998,19318,1733218858,"['6762', '3257', '396998', '19318']",396998
220,69.10.42.0/24,396998,19318,1733218858,"['6762', '3257', '396998', '19318']",396998
221,69.10.42.0/24,396998,19318,1733218858,"['6762', '3257', '396998', '19318']",396998
222,69.10.42.0/24,396998,19318,1733218858,"['6762', '3257', '396998', '19318']",396998
223,69.10.42.0/24,396998,19318,1733218858,"['206356', '3320', '3257', '396998', '19318']",396998
224,69.10.42.0/24,396998,19318,1733218858,"['6461', '3257', '396998', '19318']",396998
225,69.10.42.0/24,396998,19318,1733218858,"['6461', '3257', '396998', '19318']",396998
226,69.10.42.0/24,396998,19318,1733218858,"['205112', '13030', '1299', '3257', '396998', '19318']",396998
227,69.10.42.0/24,396998,19318,1733218858,"['25220', '29551', '5405', '396998', '19318']","5405,396998"
228,69.10.42.0/24,396998,19318,1733218858,"['6233', '1299', '3257', '396998', '19318']",396998
229,69.10.42.0/24,396998,19318,1733218858,"['25220', '3356', '3257', '396998', '19318']",396998
230,69.10.42.0/24,396998,19318,1733218858,"['25220', '3257', '396998', '19318']",396998
231,69.10.42.0/24,396998,19318,1733218858,"['47147', '1299', '3257', '396998', '19318']",396998
232,69.10.42.0/24,396998,19318,1733218858,"['47147', '1299', '3257', '396998', '19318']",396998
233,69.10.42.0/24,396998,19318,1733218858,"['47692', '33891', '33891', '33891', '33891', '33891', '33891', '3257', '396998', '19318']",396998
234,69.10.42.0/24,396998,19318,1733218858,"['47692', '3356', '3356', '3356', '3356', '3356', '3257', '396998', '19318']",396998
235,69.10.42.0/24,396998,19318,1733218858,"['47692', '3356', '3356', '3356', '3356', '3356', '3257', '396998', '19318']",396998
236,69.10.42.0/24,396998,19318,1733218858,"['47692', '33891', '33891', '33891', '33891', '33891', '3257', '396998', '19318']",396998
237,69.10.42.0/24,396998,19318,1733218858,"['3257', '396998', '19318']",396998
238,69.10.42.0/24,396998,19318,1733218858,"['3257', '396998', '19318']",396998
239,69.10.42.0/24,396998,19318,1733218858,"['202365', '50673', '9002', '396998', '19318']",396998
240,69.10.42.0/24,396998,19318,1733218858,"['22652', '1299', '3257', '396998', '19318']",396998
241,69.10.42.0/24,396998,19318,1733218858,"['22652', '3257', '396998', '19318']",396998
242,69.10.42.0/24,396998,19318,1733218858,"['44393', '58057', '50673', '9002', '396998', '19318']",396998
243,69.10.42.0/24,396998,19318,1733218858,"['44393', '394256', '6939', '396998', '19318']",396998
244,69.10.42.0/24,396998,19318,1733218858,"['44393', '394256', '6939', '396998', '19318']",396998
245,69.10.42.0/24,396998,19318,1733218858,"['44393', '58057', '6939', '396998', '19318']",396998
246,69.10.42.0/24,396998,19318,1733218858,"['20205', '6939', '396998', '19318']",396998
247,69.10.42.0/24,396998,19318,1733218858,"['34549', '396998', '19318']",396998
248,69.10.42.0/24,396998,19318,1733218858,"['204092', '34019', '47160', '6461', '3257', '396998', '19318']",396998
249,69.10.42.0/24,396998,19318,1733218858,"['58057', '1836', '5511', '3257', '396998', '19318']",396998
253,69.10.42.0/24,396998,19318,1733218858,"['34927', '1299', '3257', '396998', '19318']",396998
254,69.10.42.0/24,396998,19318,1733218858,"['34800', '58057', '50673', '9002', '396998', '19318']",396998
255,69.10.42.0/24,396998,19318,1733218858,"['24482', '396998', '19318']",396998
256,69.10.42.0/24,396998,19318,1733218858,"['58057', '1836', '5511', '3257', '396998', '19318']",396998
257,69.10.42.0/24,396998,19318,1733218858,"['34854', '1299', '3257', '396998', '19318']",396998
258,69.10.42.0/24,396998,19318,1733218858,"['34854', '3257', '396998', '19318']",396998
259,69.10.42.0/24,396998,19318,1733218858,"['34854', '3257', '396998', '19318']",396998
260,69.10.42.0/24,396998,19318,1733218858,"['204092', '34019', '3303', '3257', '396998', '19318']",396998
261,69.10.42.0/24,396998,19318,1733218858,"['204092', '34019', '29169', '396998', '19318']",396998
262,69.10.42.0/24,396998,19318,1733218858,"['58057', '1836', '5511', '3257', '396998', '19318']",396998
263,69.10.42.0/24,396998,19318,1733218858,"['58057', '1836', '5511', '3257', '396998', '19318']",396998
264,69.10.42.0/24,396998,19318,1733218858,"['15562', '2914', '3257', '396998', '19318']",396998
265,69.10.42.0/24,396998,19318,1733218858,"['202365', '206499', '34549', '396998', '19318']",396998
