IP Prefix,ASNs
94.188.235.0/24,"AS198949, AS25773"
94.188.236.0/24,"AS198949, AS25773"
94.188.237.0/24,"AS198949, AS25003, AS25773"
94.188.239.0/24,"AS198949, AS25773"
94.188.240.0/24,"AS198949, AS25003, AS25773"
94.188.241.0/24,"AS198949, AS25003, AS25773"
94.196.0.0/18,"AS198949, AS206067"
94.196.64.0/20,"AS198949, AS206067"
94.196.80.0/20,"AS198949, AS206067"
94.196.96.0/20,"AS198949, AS206067"
94.196.112.0/20,"AS198949, AS206067"
94.196.128.0/20,"AS198949, AS206067"
94.196.144.0/20,"AS198949, AS206067"
94.196.160.0/19,"AS198949, AS206067"
94.196.192.0/20,"AS198949, AS206067"
94.196.208.0/20,"AS198949, AS206067"
94.196.224.0/19,"AS198949, AS206067"
94.197.0.0/19,"AS198949, AS206067"
94.197.32.0/20,"AS198949, AS206067"
94.197.48.0/20,"AS198949, AS206067"
94.197.64.0/19,"AS198949, AS206067"
94.197.96.0/21,"AS198949, AS206067"
94.197.104.0/21,"AS198949, AS206067"
94.197.112.0/21,"AS198949, AS206067"
94.197.128.0/21,"AS198949, AS206067"
94.197.136.0/21,"AS198949, AS206067"
94.197.144.0/21,"AS198949, AS206067"
94.197.152.0/21,"AS198949, AS206067"
94.197.160.0/21,"AS198949, AS206067"
94.197.168.0/21,"AS198949, AS206067"
94.197.176.0/21,"AS198949, AS206067"
94.197.184.0/21,"AS198949, AS206067"
94.197.192.0/18,"AS198949, AS206067"
95.131.240.0/21,"AS198949, AS49083"
95.136.128.0/17,"AS198949, AS34383"
95.157.128.0/18,"AS198949, AS49112"
95.157.192.0/18,"AS15557, AS198949"
95.168.0.0/19,"AS198949, AS43698"
95.171.128.0/19,"AS198949, AS43763"
95.174.160.0/19,"AS198949, AS49011"
95.175.160.0/19,"AS198949, AS42117"
95.176.0.0/17,"AS198949, AS42811"
95.181.220.0/22,"AS12566, AS198949"
95.214.44.0/22,"AS198949, AS60032"
109.0.0.0/11,"AS15557, AS198949, AS21502"
109.70.16.0/21,"AS198949, AS60032"
109.122.128.0/18,"AS198949, AS49902"
128.127.16.0/21,"AS198949, AS60032"
128.139.0.0/17,"AS198949, AS35280, AS378"
128.139.128.0/17,"AS198949, AS35280, AS378"
130.0.96.0/19,"AS198949, AS49112"
132.64.0.0/16,"AS198949, AS35280, AS378"
132.65.0.0/16,"AS198949, AS35280, AS378"
132.66.0.0/16,"AS198949, AS35280, AS378"
132.67.0.0/16,"AS198949, AS35280, AS378"
132.68.0.0/16,"AS198949, AS35280, AS378"
132.69.0.0/16,"AS198949, AS35280, AS378"
132.68.0.0/15,"AS198949, AS378"
132.70.0.0/16,"AS198949, AS35280, AS378"
132.71.0.0/16,"AS198949, AS35280, AS378"
132.72.0.0/16,"AS198949, AS35280, AS378"
132.73.0.0/16,"AS198949, AS35280, AS378"
132.74.0.0/16,"AS198949, AS35280, AS378"
132.75.0.0/16,"AS198949, AS35280, AS378"
132.76.0.0/16,"AS198949, AS35280, AS378"
132.77.0.0/16,"AS198949, AS35280, AS378"
141.136.58.0/24,"AS198949, AS52451"
141.170.216.0/21,"AS15557, AS198949"
141.226.110.0/24,"AS198949, AS25773"
145.219.8.0/24,"AS198949, AS201017"
145.219.9.0/24,"AS198949, AS201017"
145.219.10.0/24,"AS198949, AS201017"
145.219.11.0/24,"AS198949, AS201017"
145.219.12.0/24,"AS198949, AS201017"
145.219.13.0/24,"AS198949, AS201017"
145.219.14.0/24,"AS198949, AS201017"
145.219.15.0/24,"AS198949, AS201017"
145.219.16.0/24,"AS198949, AS201017"
145.219.17.0/24,"AS198949, AS201017"
147.233.0.0/17,"AS198949, AS35280, AS378"
147.233.128.0/17,"AS198949, AS35280, AS378"
147.234.8.0/21,"AS198949, AS207106"
147.234.81.0/24,"AS198949, AS207444"
147.235.242.0/24,"AS198949, AS6810"
147.235.250.0/24,"AS198949, AS6810"
149.238.0.0/19,"AS198949, AS216134, AS51964"
149.238.32.0/19,"AS198949, AS216134, AS51964"
149.238.64.0/19,"AS198949, AS216134, AS51964"
149.238.96.0/19,"AS198949, AS216134, AS51964"
149.238.128.0/19,"AS198949, AS216134, AS51964"
149.238.160.0/19,"AS198949, AS216134, AS51964"
149.238.192.0/19,"AS198949, AS216134, AS51964"
149.238.224.0/19,"AS198949, AS216134, AS51964"
155.45.249.0/24,"AS198949, AS8132"
159.20.8.0/21,"AS198949, AS42117"
167.17.128.0/19,"AS198949, AS25773"
170.133.0.0/18,"AS198930, AS198949"
176.52.224.0/20,"AS198949, AS49112"
176.97.159.0/24,"AS198949, AS199199"
178.18.176.0/20,"AS198949, AS39847"
178.19.0.0/20,"AS198949, AS49011"
178.255.10.0/24,"AS198949, AS43937"
185.13.180.0/22,"AS198949, AS60032"
185.15.128.0/22,"AS1299, AS16347, AS198949, AS30889"
185.34.224.0/24,"AS198949, AS60173"
185.34.225.0/24,"AS198949, AS60173"
185.34.226.0/24,"AS198949, AS60173"
185.34.227.0/24,"AS14618, AS16509, AS198949"
185.39.216.0/22,"AS12566, AS198949"
185.49.16.0/22,"AS198949, AS25516"
185.55.132.0/22,"AS198949, AS20249"
185.61.144.0/22,"AS198949, AS60032"
185.78.60.0/22,"AS198930, AS198949"
185.107.84.0/22,"AS198949, AS60032"
185.109.254.0/24,"AS198949, AS207589"
185.128.140.0/22,"AS198949, AS60032"
185.139.240.0/22,"AS198949, AS25773"
185.147.148.0/22,"AS198949, AS49083"
185.147.204.0/22,"AS15557, AS198949"
185.147.220.0/22,"AS198949, AS42811"
185.147.224.0/22,"AS198949, AS49902"
185.147.228.0/22,"AS198949, AS49540"
185.147.232.0/22,"AS198949, AS49112"
185.150.120.0/22,"AS198949, AS39847"
185.150.172.0/22,"AS198949, AS58324"
185.153.236.0/24,"AS174, AS198949, AS206067"
185.153.237.0/24,"AS198949, AS206067"
185.153.238.0/24,"AS198949, AS206067"
185.153.239.0/24,"AS174, AS198949, AS206067"
185.162.103.0/24,"AS198949, AS48631"
185.163.60.0/22,"AS198949, AS60032"
185.189.20.0/22,"AS198949, AS60032"
185.198.4.0/24,"AS198949, AS202837"
185.198.5.0/24,"AS198949, AS202837"
185.198.6.0/24,"AS198949, AS202837"
185.198.7.0/24,"AS198949, AS202837"
185.203.180.0/22,"AS198949, AS60032"
185.204.172.0/22,"AS12670, AS15557, AS198949"
185.229.176.0/22,"AS198949, AS60032"
185.230.181.0/24,"AS198949, AS210008, AS393559"
185.230.182.0/24,"AS198949, AS210008"
185.230.183.0/24,"AS198949, AS210008"
185.253.12.0/22,"AS13054, AS198949"
185.253.36.0/22,"AS198949, AS60032"
188.7.0.0/16,"AS198949, AS41272"
188.28.0.0/20,"AS198949, AS206067"
188.28.16.0/20,"AS198949, AS206067"
188.28.32.0/20,"AS198949, AS206067"
188.28.48.0/20,"AS198949, AS206067"
188.28.64.0/20,"AS198949, AS206067"
188.28.80.0/20,"AS198949, AS206067"
188.28.96.0/20,"AS198949, AS206067"
188.28.112.0/20,"AS198949, AS206067"
188.28.128.0/19,"AS198949, AS206067"
188.28.160.0/19,"AS198949, AS206067"
188.28.192.0/18,"AS198949, AS206067"
188.29.0.0/20,"AS198949, AS206067"
188.29.16.0/20,"AS198949, AS206067"
188.29.32.0/20,"AS198949, AS206067"
188.29.48.0/20,"AS198949, AS206067"
188.29.64.0/20,"AS198949, AS206067"
188.29.80.0/20,"AS198949, AS206067"
188.29.96.0/20,"AS198949, AS206067"
188.29.112.0/20,"AS198949, AS206067"
188.29.128.0/19,"AS198949, AS206067"
188.29.160.0/22,"AS198949, AS206067"
188.29.184.0/21,"AS198949, AS206067"
188.29.192.0/20,"AS198949, AS206067"
188.29.208.0/20,"AS198949, AS206067"
188.29.224.0/20,"AS198949, AS206067"
188.29.240.0/21,"AS198949, AS206067"
188.29.248.0/22,"AS198949, AS206067"
188.30.0.0/21,"AS198949, AS206067"
188.30.8.0/21,"AS198949, AS206067"
188.30.16.0/21,"AS198949, AS206067"
188.30.24.0/21,"AS198949, AS206067"
188.30.32.0/19,"AS198949, AS206067"
188.30.64.0/22,"AS198949, AS206067"
188.30.68.0/22,"AS198949, AS206067"
188.30.72.0/22,"AS198949, AS206067"
188.30.76.0/22,"AS198949, AS206067"
188.30.80.0/22,"AS198949, AS206067"
188.30.84.0/22,"AS198949, AS206067"
188.30.88.0/22,"AS198949, AS206067"
188.30.92.0/22,"AS198949, AS206067"
188.30.96.0/19,"AS198949, AS206067"
188.30.128.0/21,"AS198949, AS206067"
188.30.136.0/21,"AS198949, AS206067"
188.30.144.0/21,"AS198949, AS206067"
188.30.152.0/21,"AS198949, AS206067"
188.30.160.0/19,"AS198949, AS206067"
188.30.192.0/21,"AS198949, AS206067"
188.30.200.0/21,"AS198949, AS206067"
188.30.208.0/20,"AS198949, AS206067"
188.30.224.0/20,"AS198949, AS206067"
188.30.240.0/21,"AS198949, AS206067"
188.31.0.0/21,"AS198949, AS206067"
188.31.8.0/21,"AS198949, AS206067"
188.31.16.0/21,"AS198949, AS206067"
188.31.24.0/21,"AS198949, AS206067"
188.31.32.0/19,"AS198949, AS206067"
188.31.64.0/22,"AS198949, AS206067"
188.31.68.0/22,"AS198949, AS206067"
188.31.72.0/22,"AS198949, AS206067"
188.31.76.0/22,"AS198949, AS206067"
188.31.80.0/22,"AS198949, AS206067"
188.31.84.0/22,"AS198949, AS206067"
188.31.88.0/22,"AS198949, AS206067"
188.31.92.0/22,"AS198949, AS206067"
188.31.96.0/20,"AS198949, AS206067"
188.31.112.0/20,"AS198949, AS206067"
188.31.128.0/19,"AS198949, AS206067"
188.31.160.0/20,"AS198949, AS206067"
188.31.176.0/20,"AS198949, AS206067"
188.31.192.0/21,"AS198949, AS206067"
188.31.200.0/21,"AS198949, AS206067"
188.31.208.0/21,"AS198949, AS206067"
188.31.224.0/20,"AS198949, AS206067"
188.31.248.0/23,"AS174, AS198949, AS206067"
188.31.250.0/24,"AS198949, AS206067"
188.31.251.0/24,"AS174, AS198949, AS206067"
188.31.252.0/24,"AS198949, AS206067"
188.31.254.0/24,"AS198949, AS206067"
188.92.64.0/21,"AS198949, AS60032"
188.141.128.0/17,"AS198949, AS35632"
188.224.0.0/17,"AS198949, AS47206"
192.77.114.0/23,"AS198949, AS216134, AS51964"
192.112.208.0/24,"AS198949, AS216134, AS51964"
193.8.116.0/22,"AS198949, AS60032"
193.17.195.0/24,"AS198949, AS19905, AS34022"
193.33.52.0/23,"AS198949, AS216134, AS51964"
193.34.56.0/24,"AS198949, AS41923"
193.34.57.0/24,"AS198949, AS41923"
193.34.58.0/24,"AS198949, AS41923"
193.34.59.0/24,"AS198949, AS41923"
193.56.168.0/22,"AS198949, AS60032"
193.56.233.0/24,"AS198949, AS208746"
193.56.237.0/24,"AS198949, AS208746"
193.110.152.0/24,"AS198949, AS9159"
193.135.40.0/21,"AS14618, AS16509, AS198949, AS396982, AS54282, AS8075"
194.6.128.0/19,"AS15557, AS198949"
194.8.123.0/24,"AS198949, AS24989"
194.36.137.0/24,"AS198949, AS60032"
194.36.167.0/24,"AS198949, AS60032"
194.36.169.0/24,"AS198949, AS60032"
194.36.221.0/24,"AS198949, AS60032"
194.61.102.0/23,"AS198949, AS207188"
194.90.1.0/24,"AS1680, AS198949"
194.153.88.0/23,"AS12566, AS198949"
194.153.90.0/24,"AS12566, AS198949"
194.153.92.0/24,"AS12566, AS198949"
194.153.97.0/24,"AS12566, AS198949"
194.177.32.0/19,"AS1299, AS16347, AS198949, AS30889"
194.182.112.0/20,"AS198949, AS60032"
194.183.192.0/19,"AS15557, AS198949"
194.242.176.0/20,"AS15557, AS198949"
195.3.0.0/18,"AS15557, AS198949"
195.7.96.0/19,"AS15557, AS198949"
195.66.76.0/24,"AS198949, AS3209, AS39077, AS8879"
195.77.198.0/24,"AS198949, AS3352"
195.77.199.0/24,"AS198949, AS3352"
195.98.96.0/19,"AS15557, AS198949"
195.115.0.0/16,"AS15557, AS198949"
195.132.0.0/16,"AS15557, AS198949, AS21502"
195.146.192.0/19,"AS15557, AS198949"
195.167.192.0/20,"AS15557, AS198949"
195.167.224.0/20,"AS15557, AS198949"
195.248.0.0/19,"AS15557, AS198949"
199.203.1.0/24,"AS1680, AS198949"
212.23.160.0/19,"AS12566, AS198949"
212.25.192.0/20,"AS198949, AS29063"
212.25.208.0/23,"AS198949, AS29519"
212.25.212.0/23,"AS198949, AS29063"
212.30.96.0/19,"AS15557, AS198949"
212.39.128.0/19,"AS15557, AS198949"
212.62.64.0/19,"AS198949, AS8879"
212.94.160.0/19,"AS15557, AS198949"
212.99.0.0/17,"AS12670, AS15557, AS198949"
212.101.192.0/19,"AS12437, AS198949, AS8879"
212.103.0.0/19,"AS12670, AS15557, AS198949"
212.104.240.0/20,"AS198949, AS60032"
212.122.164.0/24,"AS198949, AS25554"
212.122.165.0/24,"AS198949, AS25554"
212.143.194.0/24,"AS1680, AS198949"
212.159.192.0/19,"AS198949, AS29063"
212.159.224.0/19,"AS198949, AS29063"
212.198.0.0/16,"AS15557, AS198949"
213.30.128.0/18,"AS12670, AS15557, AS198949"
213.55.0.0/18,"AS198949, AS49902"
213.128.32.0/19,"AS15557, AS198949"
213.144.192.0/19,"AS15557, AS198949"
213.169.160.0/19,"AS15557, AS198949"
213.176.192.0/19,"AS198949, AS43763"
213.203.64.0/18,"AS15557, AS198949"
213.222.64.0/18,"AS198949, AS49902"
213.223.0.0/16,"AS15557, AS198949, AS21502"
213.244.0.0/19,"AS12670, AS15557, AS198949"
213.245.0.0/16,"AS15557, AS198949, AS21502"
217.19.192.0/20,"AS15557, AS198949"
217.66.112.0/20,"AS12670, AS15557, AS198949"
217.70.80.0/20,"AS15557, AS198949"
217.112.224.0/20,"AS15557, AS198949"
217.145.162.0/24,"AS198949, AS19905"
217.145.164.0/24,"AS198949, AS19905"
217.145.166.0/24,"AS198949, AS50866"
217.145.160.0/20,"AS16344, AS198949, AS19905"
217.171.128.0/20,"AS198949, AS206067"
2a00:1348:10::/48,"AS198949, AS57837"
2a00:5e80::/32,"AS198949, AS34383"
2a00:6200::/29,"AS15557, AS198949"
2a00:7180::/32,"AS15557, AS198949"
2a00:8380::/32,"AS15557, AS198949, AS41272"
2a00:8d80::/32,"AS15557, AS198949, AS43698"
2a00:9380::/32,"AS15557, AS198949, AS49112"
2a00:a080::/32,"AS15557, AS198949, AS49902"
2a00:a580::/32,"AS198949, AS35238"
2a00:b180::/32,"AS15557, AS198949, AS49540"
2a00:b280::/32,"AS15557, AS198949, AS39847"
2a00:ba80::/32,"AS198949, AS43763"
2a00:be80::/32,"AS15557, AS198949, AS42811"
2a00:c780::/32,"AS15557, AS198949, AS42117"
2a00:cc80::/32,"AS15557, AS198949, AS49011"
2a00:d780::/32,"AS15557, AS198949, AS41334"
2a00:e080::/32,"AS15557, AS198949"
2a00:e880::/32,"AS198949, AS47206"
2a00:ec80::/32,"AS15557, AS198949, AS48179"
2a00:ec81::/32,"AS198949, AS3305"
2a02:79e0::/32,"AS198949, AS60032"
2a02:8400::/25,"AS15557, AS198949"
2a02:cfc0::/29,"AS198949, AS60032"
2a02:e000::/29,"AS12670, AS15557, AS198949"
2a03:98c7::/32,"AS198949, AS207188"
2a04:4a43:4000::/39,"AS198949, AS206067"
2a04:4a43:4200::/39,"AS198949, AS206067"
2a04:4a43:4400::/40,"AS198949, AS206067"
2a04:4a43:4500::/40,"AS198949, AS206067"
2a04:4a43:4600::/40,"AS198949, AS206067"
2a04:4a43:4700::/40,"AS198949, AS206067"
