,Unnamed: 0.1,Unnamed: 0,target_ip,nr_attacker_ips,nr_attacker_ports,nr_target_ports,nr_packets,nr_bytes,max_ppm,start_posix_time,end_posix_time,asn,country-code,continent-code,date
4680440,3956893,1324,135.181.126.166,41189,30641,1,41296,1764136,14924,1626196619,1626196926,24940,DE,EU,2021-07-13
4680449,3956902,1333,136.232.112.242,121,1,121,121,4840,56,1626197431,1626197655,55836,IN,AS,2021-07-13
4680453,3956906,1337,136.243.77.37,1,8,3,53,2720,50,1626195989,1626196149,24940,DE,EU,2021-07-13
4680454,3956907,1338,136.243.77.37,1,19,3,44,2132,32,1626196616,1626197995,24940,DE,EU,2021-07-13
4680469,3956922,1353,138.122.83.210,1,1,1,43,7138,37,1626192087,1626192148,28598,BR,SA,2021-07-13
4680712,3957165,1596,139.9.142.227,5785,1,5477,5787,231480,1995,1626197523,1626197707,55990,CN,AS,2021-07-13
4680722,3957175,1606,139.99.116.169,80153,46283,1,80463,3218520,35265,1626196909,1626197058,16276,SG,AS,2021-07-13
4680760,3957213,1644,14.161.47.249,821,815,811,821,32840,177,1626192000,1626192298,45899,VN,AS,2021-07-13
4680791,3957244,1675,140.206.86.124,696,3,785,792,31680,181,1626192000,1626192299,17621,CN,AS,2021-07-13
4680801,3957254,1685,140.206.86.125,681,3,786,789,31560,172,1626192000,1626192299,17621,CN,AS,2021-07-13
4680810,3957263,1694,141.95.15.182,86242,48078,1,84722,3388880,18975,1626196790,1626197084,16276,DE,EU,2021-07-13
4680813,3957266,1697,142.250.179.238,6,15,2,47,1880,30,1626197337,1626198815,15169,US,,2021-07-13
4680815,3957268,1699,142.250.181.225,1,6,1,41,1640,31,1626196239,1626196469,15169,US,,2021-07-13
4680831,3957284,1715,142.250.185.110,1,4,1,5,200,32,1626198565,1626198657,15169,US,,2021-07-13
4680870,3957323,1754,142.250.187.99,2,5,2,36,1440,32,1626196032,1626196418,15169,US,,2021-07-13
4680887,3957340,1771,142.250.4.104,1,4,1,60,2400,45,1626195646,1626195901,15169,US,,2021-07-13
4680952,3957405,1836,143.204.178.96,1,9,1,107,4280,80,1626192165,1626192297,16509,GB,EU,2021-07-13
4680954,3957407,1838,143.204.198.31,1,4,1,36,1440,32,1626197495,1626197625,16509,GB,EU,2021-07-13
4680957,3957410,1841,143.204.198.99,1,4,1,51,2040,34,1626197847,1626198029,16509,GB,EU,2021-07-13
4680958,3957411,1842,143.204.47.50,1,6,1,58,2320,54,1626197296,1626197393,16509,US,,2021-07-13
4680976,3957429,1860,144.172.73.149,4421,4291,1,16903,1014180,4665,1626192000,1626192299,212513,DE,EU,2021-07-13
4680977,3957430,1861,144.172.73.149,196780,39260,1,304986,14797036,97699,1626198159,1626198395,212513,DE,EU,2021-07-13
4680984,3957437,1868,144.195.39.8,39927,29767,1,156780,9361276,53656,1626192113,1626192299,30103,US,,2021-07-13
4681010,3957463,1894,147.124.207.64,37987,28881,1,38050,2100080,11780,1626192016,1626192299,396073,US,,2021-07-13
4681012,3957465,1896,147.135.116.7,88473,45381,1,88834,3553376,29736,1626197718,1626198795,16276,FR,EU,2021-07-13
4681029,3957482,1913,147.234.71.142,423,1,3,423,16920,103,1626192000,1626192299,51825,IL,AS,2021-07-13
4681032,3957485,1916,148.153.35.66,266,266,1,73832,2953280,15220,1626192000,1626192299,63199,US,,2021-07-13
4681052,3957505,1936,149.167.147.70,89,1,1,89,3560,34,1626192002,1626192291,135887,AU,OC,2021-07-13
4681056,3957509,1940,149.202.65.66,3348,3255,1,3351,134040,3087,1626197231,1626197295,16276,FR,EU,2021-07-13
4681060,3957513,1944,149.202.87.183,58883,26647,1,59116,2364640,28436,1626195628,1626195790,16276,FR,EU,2021-07-13
4681078,3957531,1962,151.101.1.140,1,4,1,39,1560,35,1626198505,1626198608,54113,US,,2021-07-13
4681080,3957533,1964,151.101.14.2,3,7,1,49,1960,46,1626197694,1626198051,54113,DE,EU,2021-07-13
4681089,3957542,1973,151.197.34.229,526,1,1,526,25248,363,1626195838,1626195938,701,US,,2021-07-13
4681151,3957604,2035,157.240.195.15,2,5,1,5,200,33,1626196164,1626196229,32934,FR,EU,2021-07-13
4681161,3957614,2045,157.240.196.63,7,14,1,81,3240,49,1626195611,1626196219,32934,FR,EU,2021-07-13
4681175,3957628,2059,157.240.208.16,5,9,1,44,1760,32,1626192105,1626192269,32934,ID,AS,2021-07-13
4681176,3957629,2060,157.240.208.16,15,50,1,223,8920,43,1626195607,1626197712,32934,ID,AS,2021-07-13
4681205,3957658,2089,157.240.217.60,1,17,1,149,7748,30,1626192013,1626192297,32934,US,,2021-07-13
4681224,3957677,2108,157.240.234.15,8,16,2,46,1840,32,1626196534,1626197752,32934,BG,EU,2021-07-13
4681231,3957684,2115,157.240.235.3,1,2,1,37,1480,32,1626197726,1626197823,32934,US,,2021-07-13
4681265,3957718,2149,157.240.9.53,26,33,1,91,3640,32,1626192004,1626192293,32934,BG,EU,2021-07-13
4681274,3957727,2158,157.245.242.152,5717,5014,1,5950,285780,3404,1626196500,1626196676,14061,US,,2021-07-13
4681304,3957757,2188,157.38.46.88,769,1,753,741,29640,48,1626195603,1626198266,55836,IN,AS,2021-07-13
4681353,3957806,2237,162.241.216.182,144890,57831,1,194174,8544688,39207,1626192000,1626192299,26337,US,,2021-07-13
4681363,3957816,2247,162.254.197.37,4544,260,5,5157,7731804,2880,1626197513,1626197632,32590,US,,2021-07-13
4681395,3957848,2279,164.215.233.85,636,1,636,636,25440,448,1626192005,1626192091,43754,IR,AS,2021-07-13
4681431,3957884,2315,167.250.27.209,1,1,1,251,46820,95,1626197417,1626197590,265279,BR,SA,2021-07-13
4681477,3957930,2361,170.247.33.38,1,1,6,37,14800,31,1626197461,1626197535,264952,BR,SA,2021-07-13
4681514,3957967,2398,171.227.245.24,270,1,14,270,10800,64,1626192001,1626192299,7552,VN,AS,2021-07-13
